Generation 3806
61.38,[258.74, 226.58, 518.82, 81.98, 50.03, 110.61, 34.83, 0.14]
61.43,[236.08, 305.76, 504.55, 34.54, 84.9, 86.81, 84.67, 0.24]
61.44,[238.2, 191.5, 526.45, 24.71, 136.77, 151.9, 58.72, -2.67]
61.44,[238.2, 191.5, 526.45, 24.71, 136.77, 151.9, 58.72, -2.67]
61.60,[291.96, 274.93, 494.12, 82.48, 110.67, 121.51, 20.07, 0.26]
61.66,[261.48, 129.4, 516.33, 89.68, 65.25, 135.69, 50.11, -1.39]
61.79,[214.31, 197.23, 520.43, 76.47, 53.09, 120.88, 43.77, -0.92]
61.80,[185.03, 189.95, 477.55, 68.77, 70.88, 151.39, 30.63, -0.7]
61.85,[214.62, 257.67, 497.81, 84.21, 75.34, 110.98, 31.1, 0.95]
61.85,[223.42, 67.44, 476.04, 103.49, 98.72, 158.26, 25.66, -1.49]
61.91,[231.13, 119.81, 518.39, 55.67, 129.35, 137.39, 37.07, -0.95]
61.95,[297.78, 190.91, 540.05, 86.47, 101.15, 97.69, 11.05, -3.68]
61.99,[267.13, 360.45, 534.48, 79.94, 63.96, 113.55, 0.84, -0.04]
62.04,[293.21, 239.42, 514.06, 80.03, 98.97, 168.0, 9.5, -2.41]
62.13,[249.11, 257.04, 494.84, 83.91, 74.16, 114.71, 31.88, 1.4]
62.17,[188.08, 183.44, 559.23, 61.8, 77.94, 141.75, 52.22, 0.21]
62.25,[235.49, 204.09, 475.04, 101.89, 90.66, 103.14, 9.86, -0.28]
62.32,[240.21, 134.16, 486.16, 38.83, 82.09, 175.54, 31.85, -1.33]
62.35,[239.8, 196.97, 469.12, 119.05, 95.85, 151.94, 8.74, -1.42]

   44.1129	:   15.7061
  171.1195	:  159.8095
  172.1909	:  159.9447
  255.7675	:  268.5964
  305.5468	:  321.2841
  306.2727	:  321.6038
  463.1164	:  461.9862
  463.7793	:  463.2094
  520.1481	:  487.5584
  520.8335	:  487.6012
  574.4153	:  520.0527
  690.3114	:  570.6645
  921.5117	:  906.3972
 1094.6458	: 1122.5653
 1095.1101	: 1123.0173
 1136.1638	: 1170.9123
 1166.7584	: 1171.7425
 1166.8864	: 1177.7802

    0.3560
    0.9339
    0.9289
    1.0502
    1.0515
    1.0501
    0.9976
    0.9988
    0.9373
    0.9362
    0.9054
    0.8267
    0.9836
    1.0255
    1.0255
    1.0306
    1.0043
    1.0093

set otfb1 265.20
set otfb2 178.00
set otfb3 511.43
set otfa1 84.30
set otfa2 107.52
set otfa3 149.86
set otfa4 30.69
set otfd1 -4.85
